site_id	point_id	Latitude	Longitude	Code.Petit.Plateau	Site	Habitat	Material	Replicate	Control	Control_type
MAN_Os_r1	MAN	MAN-O	5.407461	-53.645487	NA	Mana	White sands	soil	r1	sample	NA
MAN_Os_r2	MAN	MAN-O	5.407461	-53.645487	NA	Mana	White sands	soil	r2	sample	NA
MAN_Os_r3	MAN	MAN-O	5.407461	-53.645487	NA	Mana	White sands	soil	r3	sample	NA
MAN_Os_r4	MAN	MAN-O	5.407461	-53.645487	NA	Mana	White sands	soil	r4	sample	NA
MAN_Pl_r1	MAN	MAN-P	5.40749	-53.645723	NA	Mana	White sands	litter	r1	sample	NA
MAN_Pl_r2	MAN	MAN-P	5.40749	-53.645723	NA	Mana	White sands	litter	r2	sample	NA
MAN_Pl_r3	MAN	MAN-P	5.40749	-53.645723	NA	Mana	White sands	litter	r3	sample	NA
MAN_Pl_r4	MAN	MAN-P	5.40749	-53.645723	NA	Mana	White sands	litter	r4	sample	NA
MAN_Ps_r1	MAN	MAN-P	5.40749	-53.645723	NA	Mana	White sands	soil	r1	sample	NA
MAN_Ps_r2	MAN	MAN-P	5.40749	-53.645723	NA	Mana	White sands	soil	r2	sample	NA
MAN_Ps_r3	MAN	MAN-P	5.40749	-53.645723	NA	Mana	White sands	soil	r3	sample	NA
MAN_Ps_r4	MAN	MAN-P	5.40749	-53.645723	NA	Mana	White sands	soil	r4	sample	NA
H20_Ql_r1	H20	H20-Q	NA	NA	NA	Petit Plateau	Terra firme	litter	r1	negative	Extraction
H20_Ql_r2	H20	H20-Q	NA	NA	NA	Petit Plateau	Terra firme	litter	r2	negative	Extraction
H20_Ql_r3	H20	H20-Q	NA	NA	NA	Petit Plateau	Terra firme	litter	r3	negative	Extraction
H20_Ql_r4	H20	H20-Q	NA	NA	NA	Petit Plateau	Terra firme	litter	r4	negative	Extraction
H20_Qs_r1	H20	H20-Q	NA	NA	NA	Petit Plateau	Terra firme	soil	r1	negative	Extraction
H20_Qs_r2	H20	H20-Q	NA	NA	NA	Petit Plateau	Terra firme	soil	r2	negative	Extraction
H20_Qs_r3	H20	H20-Q	NA	NA	NA	Petit Plateau	Terra firme	soil	r3	negative	Extraction
H20_Qs_r4	H20	H20-Q	NA	NA	NA	Petit Plateau	Terra firme	soil	r4	negative	Extraction
MAN_Ql_r1	MAN	MAN-A	NA	NA	NA	Mana	White sands	litter	r1	negative	Extraction
MAN_Ql_r2	MAN	MAN-A	NA	NA	NA	Mana	White sands	litter	r2	negative	Extraction
MAN_Ql_r3	MAN	MAN-A	NA	NA	NA	Mana	White sands	litter	r3	negative	Extraction
MAN_Ql_r4	MAN	MAN-A	NA	NA	NA	Mana	White sands	litter	r4	negative	Extraction
MAN_Qs_r1	MAN	MAN-A	NA	NA	NA	Mana	White sands	soil	r1	negative	Extraction
MAN_Qs_r2	MAN	MAN-A	NA	NA	NA	Mana	White sands	soil	r2	negative	Extraction
MAN_Qs_r3	MAN	MAN-A	NA	NA	NA	Mana	White sands	soil	r3	negative	Extraction
MAN_Qs_r4	MAN	MAN-A	NA	NA	NA	Mana	White sands	soil	r4	negative	Extraction
cn_01_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	negative	PCR
cn_01_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	negative	PCR
cn_01_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	negative	PCR
cn_01_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	negative	PCR
cn_02_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	negative	PCR
cn_02_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	negative	PCR
cn_02_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	negative	PCR
cn_02_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	negative	PCR
cn_03_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	negative	PCR
cn_03_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	negative	PCR
cn_03_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	negative	PCR
cn_03_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	negative	PCR
cn_04_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	negative	PCR
cn_04_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	negative	PCR
cn_04_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	negative	PCR
cn_04_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	negative	PCR
cn_05_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	negative	PCR
cn_05_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	negative	PCR
cn_05_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	negative	PCR
cn_05_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	negative	PCR
cn_06_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	negative	PCR
cn_06_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	negative	PCR
cn_06_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	negative	PCR
cn_06_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	negative	PCR
cn_07_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	negative	PCR
cn_07_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	negative	PCR
cn_07_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	negative	PCR
cn_07_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	negative	PCR
cn_08_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	negative	PCR
cn_08_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	negative	PCR
cn_08_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	negative	PCR
cn_08_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	negative	PCR
blk_01_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	negative	Library/Sequencing
blk_01_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	negative	Library/Sequencing
blk_01_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	negative	Library/Sequencing
blk_01_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	negative	Library/Sequencing
blk_02_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	negative	Library/Sequencing
blk_02_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	negative	Library/Sequencing
blk_02_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	negative	Library/Sequencing
blk_02_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	negative	Library/Sequencing
blk_03_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	negative	Library/Sequencing
blk_03_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	negative	Library/Sequencing
blk_03_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	negative	Library/Sequencing
blk_03_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	negative	Library/Sequencing
blk_04_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	negative	Library/Sequencing
blk_04_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	negative	Library/Sequencing
blk_04_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	negative	Library/Sequencing
blk_04_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	negative	Library/Sequencing
blk_05_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	negative	Library/Sequencing
blk_05_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	negative	Library/Sequencing
blk_05_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	negative	Library/Sequencing
blk_05_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	negative	Library/Sequencing
blk_06_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	negative	Library/Sequencing
blk_06_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	negative	Library/Sequencing
blk_06_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	negative	Library/Sequencing
blk_06_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	negative	Library/Sequencing
blk_07_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	negative	Library/Sequencing
blk_07_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	negative	Library/Sequencing
blk_07_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	negative	Library/Sequencing
blk_07_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	negative	Library/Sequencing
blk_08_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	negative	Library/Sequencing
blk_08_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	negative	Library/Sequencing
blk_08_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	negative	Library/Sequencing
blk_08_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	negative	Library/Sequencing
blk_09_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	negative	Library/Sequencing
blk_09_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	negative	Library/Sequencing
blk_09_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	negative	Library/Sequencing
blk_09_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	negative	Library/Sequencing
blk_10_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	negative	Library/Sequencing
blk_10_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	negative	Library/Sequencing
blk_10_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	negative	Library/Sequencing
blk_10_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	negative	Library/Sequencing
blk_11_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	negative	Library/Sequencing
blk_11_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	negative	Library/Sequencing
blk_11_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	negative	Library/Sequencing
blk_11_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	negative	Library/Sequencing
blk_12_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	negative	Library/Sequencing
blk_12_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	negative	Library/Sequencing
blk_12_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	negative	Library/Sequencing
blk_12_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	negative	Library/Sequencing
cp_01_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	positive	Mock 16 plants
cp_01_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	positive	Mock 16 plants
cp_01_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	positive	Mock 16 plants
cp_01_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	positive	Mock 16 plants
cp_02_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	positive	Mock 16 plants
cp_02_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	positive	Mock 16 plants
cp_02_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	positive	Mock 16 plants
cp_02_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	positive	Mock 16 plants
cp_03_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	positive	Mock 16 plants
cp_03_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	positive	Mock 16 plants
cp_03_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	positive	Mock 16 plants
cp_03_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	positive	Mock 16 plants
cp_04_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	positive	Mock 16 plants
cp_04_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	positive	Mock 16 plants
cp_04_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	positive	Mock 16 plants
cp_04_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	positive	Mock 16 plants
cp_05_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	positive	Mock 16 plants
cp_05_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	positive	Mock 16 plants
cp_05_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	positive	Mock 16 plants
cp_05_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	positive	Mock 16 plants
cp_06_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	positive	Mock 16 plants
cp_06_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	positive	Mock 16 plants
cp_06_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	positive	Mock 16 plants
cp_06_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	positive	Mock 16 plants
cp_07_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	positive	Mock 16 plants
cp_07_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	positive	Mock 16 plants
cp_07_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	positive	Mock 16 plants
cp_07_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	positive	Mock 16 plants
cp_08_r1	NA	NA	NA	NA	NA	NA	NA	NA	r1	positive	Mock 16 plants
cp_08_r2	NA	NA	NA	NA	NA	NA	NA	NA	r2	positive	Mock 16 plants
cp_08_r3	NA	NA	NA	NA	NA	NA	NA	NA	r3	positive	Mock 16 plants
cp_08_r4	NA	NA	NA	NA	NA	NA	NA	NA	r4	positive	Mock 16 plants
